id,name,lat,lon
0,Kashmere Gate,28.6671,77.2281
1,Red Fort,28.6562,77.241
2,Chandni Chowk,28.6506,77.2334
3,New Delhi Station,28.642,77.2195
4,Connaught Place,28.6289,77.2065
5,India Gate,28.6129,77.2295
6,Lajpat Nagar,28.57,77.244
7,Saket,28.5245,77.2066
8,Hauz Khas,28.5494,77.2001
9,IIT Delhi,28.5459,77.1926
10,Dwarka Sec 21,28.553,77.0588
11,Janakpuri,28.6219,77.0839
12,Rajouri Garden,28.6489,77.1219
13,Karol Bagh,28.6527,77.19
14,Patel Nagar,28.6511,77.17
15,Rohini Sec 18,28.7357,77.1067
16,Pitampura,28.7005,77.1317
17,Netaji Subhash Place,28.6928,77.1531
18,Azadpur,28.71,77.18
19,GTB Nagar,28.7017,77.2065
20,Shahdara,28.6718,77.2888
21,Dilshad Garden,28.6817,77.3208
22,Anand Vihar,28.6469,77.3151
23,Laxmi Nagar,28.6322,77.2777
24,Noida Sec 15,28.5853,77.321
